Job Title,Key Skills
media planning executive/manager,media planning| digital media
sales executive/officer,pre sales| closing| software knowledge| clients| requirements| negotiating| client| online bidding| good communication| technology
r&d executive,computer science| fabrication| quality check| intellectual property| electronics| support services| research| management| human resource management| research executive
technical support engineer,technical support
testing engineer,manual testing| test engineering| test cases| web testing| web technologies
system analyst,adobe experience manager| digital| digital marketing| adobe analytics| data analytics| aem| adobe| sitecatalyst
sales executive/officer,channel partners| real estate| negotiation| property| residential sales
technical architect,tfs| azure| git| vsts| docker| dynatrace| splunk| aws
sales executive/officer,bde
associate/senior associate -,technical support| support services| application support| communication skills| voice based process| semi voice| semi voice process
corporate planning/strategy manager,secretary| executive assistant| ea
webmaster,website| web analytics| xml| link building| google analytics| case studies| seo| social media| tracking| maintaining
process flow analyst,operations| workflow| tat| monitoring| mts| email
software developer,oracle idam|oim|oam
social media marketing manager,digital marketing| seo| social media marketing| content marketing| email marketing| sem| google analytics| campaign management| facebook| media management
senior design engineer,help desk| customer service| customer relationship| access controls| asset management| vendor management
accounts manager,report generation| policies| analytical| procedures| analysts| data entry| analytical skills
software developer,copyright| email| jquery| xml| javascript| cakephp| customer service| open source| facebook| css3
software developer,c#| ms dynamics crm| microsoft dynamics| ms dynamics
sales officer,sales manager| business development manager| relationship manager| brokers| insurance sales| channel sales| direct sale| direct marketing| sales| marketing executive| territory sales manager
sales/business development manager,lead generation| business development| corporate sales
sales/business development manager,contract management| closing| it services| relationship building| managed services| selling| market research| business development manager| sales
quality assurance/quality control executive,qa executive
software developer,java ee| jms| core java| junit| weblogic| html| jpa| json| soap| sql
software developer,conceptualization| architecting| continuous improvement| side| development| front end| it
graphic/web designer,articulate storyline
area sales manager,area sales management| retail sales| fmcg| chocolate| confectionary| asm| area sales manager| area business manager
software developer,c#| java| oop| c++| multithreading| uml| ooad| oops| .net| debugging
system administrator,qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos
project manager,java| jpa| hibernate| project management| jdbc| scrum master| microservices| agile| soap| rest
software developer,java| java api| banking| j2ee| api| finance| core java| microservices
project lead,gis| iso 27001| hr| information system| process| iso 9001| information security management| gis software| management| edge
logistics executive,administration| administrative support| contract logistics| staff development| site management| quality improvement| warehousing| warehouse operations
accounts executive/accountant,filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally
associate/senior associate -,outbound| antivirus| technical support| sales| spot| inbound calls| pay| medical| comp
technical support manager,troubleshooting| dns| dhcp| monitoring| virtualization| shell scripting| python| vms| open source| archiving
technical architect,4g| 3gpp| 3g| system architect| lte| radio access network| phd| ieee
software developer,arm processor|c|device drivers|embedded linux|linux kernel|ipc
sales/business development manager,market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction
associate/senior associate -,fixed assets| accounts payable| record to report| general accounting| general ledger
regional manager,team management| regional sales| management
head / vp/ gm/ national manager after sales,commercial activities| commercial sales| online sales| senior management| budgeting| strategy implementation| marketing| e commerce
software developer,odi| matrix
software developer,javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html
associate/senior associate -,relationship management| relationship building| client relationship| training| analytical skills| process mapping| standard operating procedures| agile| management| visa processing
software developer,android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications
associate/senior associate -,cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel
software developer,bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation
team leader -,accounting| continuous improvement| process improvement| load balancing| lean six sigma| black belt| training| green belt| process re engineering| process excellence| business excellence| otc
content developer,automobile| digital content| content development| production| web content writing
sales/business development manager,tourism| target achievement| negotiation skills| revenue management| tour packages
software developer,php| networking| data structures| http| json| software design| computer science| system design| backend| ticketing
dba,weblogic| configuration| mysql| installation| oracle dba| troubleshooting| oracle rac
hr executive,service level| data management| hr coordinator| management audit| hr operations| human resource management
software developer,graphics| c++| windows os| linux| high performance computing| test cases| system software| gaming| freebsd
head/vp/gm/national manager,sales| team building| strategic leadership| real estate| field sales| sales strategy| enterprise business| go to market strategy| enterprise sales| sales executive activities| marketing
centre head / branch head / club manager,facility management| facility services
associate/senior associate -,sds| radiology| cpt| icd 10| em| medical coding| coders| surgery| ed
sales/business development manager,market analysis| public relations| cv| relationship building| market intelligence| prospecting| budgeting| sales process| branding
